,Shape,Orientation,Window to Wall Ratio,Height,Surface Area,Material,thickness,set point,Heating System,Cooling System,AC Type,Heater type,PVs,Ceiling fans,Others
7922,Rectangular,East,0.31,18,50.71,Concrete,0.21,20,0,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
7923,Rectangular,South,0.52,15,251.62,Concrete,0.34,19,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
7924,U-Shape,East,0.58,15,134.77,Steel,0.32,22,0,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
7925,Rectangular,East,0.6,10,115.91,Steel,0.34,19,1,1,VRF,Heat Pump,1,2,"Oven, Dishwasher"
7926,Rectangular,South,0.47,12,50.71,Wood,0.23,22,1,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
7927,U-Shape,South,0.3,12,285.74,Steel,0.26,20,0,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
7928,Rectangular,South,0.49,10,217.74,Wood,0.26,19,0,1,Split AC,Gas Heating,1,2,"Oven, Dishwasher"
7929,U-Shape,South,0.5,18,174.7,Wood,0.25,22,0,0,Split AC,Heat Pump,1,2,"Microwave, Washer"
7930,U-Shape,South,0.56,18,281.87,Steel,0.36,21,0,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
7931,Rectangular,East,0.54,10,165.87,Steel,0.32,19,1,1,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
7932,Rectangular,East,0.43,15,339.4,Wood,0.36,21,0,1,Split AC,Heat Pump,0,0,"Microwave, Washer"
7933,Rectangular,South,0.5,10,241.99,Steel,0.39,21,1,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
7934,Rectangular,North,0.54,12,83.36,Steel,0.4,22,1,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
7935,Rectangular,East,0.43,12,50.71,Steel,0.26,22,1,0,Split AC,Gas Heating,0,0,"Oven, Dishwasher"
7936,L-Shape,South,0.47,12,180.35,Steel,0.36,21,0,1,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
7937,U-Shape,South,0.49,12,213.45,Concrete,0.29,21,1,1,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
7938,Rectangular,East,0.57,12,137.99,Wood,0.33,21,1,1,VRF,Gas Heating,0,0,"Microwave, Washer"
7939,U-Shape,East,0.39,10,86.59,Wood,0.38,20,0,0,Package AC,Gas Heating,0,1,"TV, Fridge"
7940,U-Shape,West,0.35,18,50.71,Steel,0.27,21,0,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
7941,U-Shape,East,0.39,12,152.58,Steel,0.32,19,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
7942,L-Shape,South,0.34,18,268.01,Wood,0.34,19,0,0,Split AC,Gas Heating,0,1,"TV, Fridge"
7943,Rectangular,East,0.49,12,268.69,Concrete,0.32,20,1,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
7944,U-Shape,North,0.47,12,253.46,Steel,0.22,20,0,1,VRF,Heat Pump,0,1,"TV, Fridge"
7945,Rectangular,East,0.48,10,258.93,Wood,0.34,20,1,1,Package AC,Gas Heating,1,0,"Oven, Dishwasher"
7946,L-Shape,South,0.34,15,316.73,Concrete,0.31,19,0,1,VRF,Heat Pump,1,2,"TV, Fridge"
7947,L-Shape,East,0.56,15,288.08,Steel,0.4,19,0,0,Split AC,Heat Pump,1,0,"Oven, Dishwasher"
7948,Rectangular,North,0.57,15,345.88,Wood,0.35,21,1,1,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
7949,Rectangular,East,0.6,10,137.33,Wood,0.24,22,1,0,Split AC,Heat Pump,0,1,"Microwave, Washer"
7950,Rectangular,East,0.41,12,238.37,Concrete,0.21,21,0,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
7951,L-Shape,East,0.45,18,211.29,Wood,0.29,22,0,1,Split AC,Gas Heating,0,1,"Microwave, Washer"
7952,Rectangular,South,0.38,18,50.71,Steel,0.32,21,1,1,VRF,Heat Pump,1,1,"Oven, Dishwasher"
7953,Rectangular,East,0.46,12,193.02,Concrete,0.27,20,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
7954,U-Shape,North,0.32,15,221.49,Concrete,0.24,22,0,1,VRF,Heat Pump,0,1,"Oven, Dishwasher"
7955,Rectangular,South,0.55,15,174.53,Wood,0.25,22,0,1,Split AC,Gas Heating,0,1,"Microwave, Washer"
7956,U-Shape,South,0.32,15,50.71,Wood,0.2,20,0,0,Split AC,Heat Pump,1,2,"Microwave, Washer"
7957,L-Shape,East,0.5,12,116.55,Concrete,0.38,19,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
7958,U-Shape,South,0.46,18,171.82,Steel,0.24,19,1,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
7959,L-Shape,South,0.45,18,212.3,Concrete,0.24,21,0,1,Split AC,Gas Heating,1,1,"Oven, Dishwasher"
7960,L-Shape,South,0.3,15,167.17,Steel,0.2,20,0,1,VRF,Heat Pump,0,0,"Microwave, Washer"
7961,L-Shape,West,0.56,12,50.71,Wood,0.27,22,0,0,VRF,Heat Pump,0,0,"Oven, Dishwasher"
7962,U-Shape,East,0.38,10,158.69,Wood,0.32,19,0,0,Split AC,Gas Heating,1,2,"Microwave, Washer"
7963,L-Shape,East,0.35,12,127.01,Concrete,0.33,22,1,1,Split AC,Heat Pump,1,1,"Oven, Dishwasher"
7964,L-Shape,East,0.48,15,265.43,Steel,0.2,19,1,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
7965,L-Shape,South,0.39,15,74.07,Steel,0.33,22,1,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
7966,Rectangular,South,0.57,12,302.58,Wood,0.33,22,1,0,VRF,Heat Pump,0,0,"Oven, Dishwasher"
7967,U-Shape,South,0.37,15,256.22,Steel,0.23,21,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
7968,U-Shape,North,0.52,15,204.55,Wood,0.28,22,0,0,Package AC,Heat Pump,0,2,"Microwave, Washer"
7969,L-Shape,East,0.46,18,247.95,Concrete,0.33,19,0,0,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
7970,L-Shape,South,0.39,15,169.36,Concrete,0.38,22,0,1,VRF,Heat Pump,0,0,"Oven, Dishwasher"
7971,L-Shape,East,0.48,15,220.59,Wood,0.24,20,0,1,Split AC,Gas Heating,0,0,"Microwave, Washer"
7972,Rectangular,West,0.57,10,344.45,Wood,0.4,22,1,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
7973,U-Shape,East,0.35,15,143.82,Steel,0.25,20,0,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
7974,Rectangular,South,0.4,12,204.29,Steel,0.33,22,1,0,Package AC,Gas Heating,1,2,"Microwave, Washer"
7975,L-Shape,North,0.53,10,124.22,Steel,0.33,21,0,0,VRF,Heat Pump,1,1,"Microwave, Washer"
7976,L-Shape,East,0.42,18,235.94,Concrete,0.26,19,0,1,VRF,Heat Pump,1,0,"TV, Fridge"
7977,Rectangular,South,0.5,18,199.78,Concrete,0.28,22,0,0,Split AC,Heat Pump,1,2,"TV, Fridge"
7978,U-Shape,South,0.44,15,101.3,Steel,0.35,20,1,1,Package AC,Gas Heating,0,2,"Microwave, Washer"
7979,L-Shape,East,0.6,18,247.8,Steel,0.34,22,1,0,VRF,Heat Pump,1,0,"TV, Fridge"
7980,U-Shape,South,0.36,10,314.74,Concrete,0.38,22,0,0,VRF,Heat Pump,1,0,"Oven, Dishwasher"
7981,Rectangular,South,0.49,15,96.58,Concrete,0.37,22,1,1,Package AC,Heat Pump,1,0,"Microwave, Washer"
7982,L-Shape,South,0.55,15,246.28,Wood,0.39,22,0,1,Split AC,Gas Heating,1,0,"Microwave, Washer"
7983,L-Shape,South,0.3,15,255.38,Concrete,0.34,19,0,0,Package AC,Heat Pump,0,1,"Oven, Dishwasher"
7984,Rectangular,East,0.51,10,161.96,Concrete,0.23,19,0,1,Package AC,Heat Pump,1,0,"TV, Fridge"
7985,Rectangular,East,0.33,10,239.18,Steel,0.34,22,1,0,Package AC,Gas Heating,0,0,"Microwave, Washer"
7986,Rectangular,East,0.44,15,184.26,Steel,0.36,21,0,1,Split AC,Heat Pump,0,2,"Microwave, Washer"
7987,Rectangular,East,0.53,12,127.99,Concrete,0.34,19,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
7988,L-Shape,East,0.48,10,108.91,Wood,0.33,19,1,0,Split AC,Heat Pump,0,2,"TV, Fridge"
7989,Rectangular,South,0.55,10,277.05,Steel,0.32,19,1,1,Split AC,Heat Pump,1,2,"Microwave, Washer"
7990,Rectangular,East,0.51,12,72.41,Wood,0.21,20,1,1,Split AC,Gas Heating,0,2,"Oven, Dishwasher"
7991,Rectangular,North,0.3,15,266.73,Steel,0.32,22,1,0,Package AC,Gas Heating,0,1,"Microwave, Washer"
7992,L-Shape,East,0.52,15,319.01,Concrete,0.37,21,0,1,Split AC,Gas Heating,1,2,"TV, Fridge"
7993,U-Shape,South,0.46,18,262.01,Concrete,0.32,20,0,1,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
7994,U-Shape,South,0.53,18,261.15,Concrete,0.36,21,0,0,VRF,Heat Pump,0,2,"Oven, Dishwasher"
7995,L-Shape,North,0.52,18,222.51,Concrete,0.32,19,0,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
7996,L-Shape,South,0.49,15,183.78,Steel,0.34,22,0,1,Package AC,Gas Heating,0,0,"Microwave, Washer"
7997,U-Shape,North,0.54,15,209.23,Wood,0.32,22,0,1,Split AC,Gas Heating,1,2,"Microwave, Washer"
7998,Rectangular,South,0.48,10,318.72,Concrete,0.23,20,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
7999,L-Shape,West,0.42,12,165.69,Steel,0.24,21,0,0,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
8000,L-Shape,North,0.46,15,91.6,Wood,0.25,20,0,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
8001,Rectangular,South,0.3,18,217.04,Wood,0.37,20,1,0,VRF,Gas Heating,1,0,"TV, Fridge"
8002,Rectangular,East,0.48,12,281.26,Steel,0.2,21,0,1,Package AC,Gas Heating,1,2,"Microwave, Washer"
8003,Rectangular,East,0.45,12,246.72,Concrete,0.34,19,1,1,Package AC,Gas Heating,1,0,"Microwave, Washer"
8004,U-Shape,South,0.51,12,77.0,Concrete,0.36,19,1,1,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
8005,Rectangular,East,0.42,12,155.91,Concrete,0.2,20,1,1,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
8006,L-Shape,East,0.48,18,82.62,Steel,0.21,21,1,0,VRF,Heat Pump,1,1,"Microwave, Washer"
8007,L-Shape,North,0.54,15,181.6,Wood,0.2,21,0,1,VRF,Heat Pump,1,0,"Microwave, Washer"
8008,L-Shape,South,0.44,10,196.1,Steel,0.37,22,0,0,VRF,Gas Heating,0,2,"Microwave, Washer"
8009,U-Shape,North,0.35,15,50.71,Steel,0.25,21,0,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
8010,U-Shape,East,0.36,10,324.9,Concrete,0.38,19,0,0,Package AC,Heat Pump,1,2,"TV, Fridge"
8011,L-Shape,West,0.35,10,182.55,Wood,0.29,22,0,0,VRF,Gas Heating,0,1,"Oven, Dishwasher"
8012,Rectangular,South,0.48,18,61.77,Concrete,0.3,19,1,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
8013,L-Shape,East,0.44,10,261.58,Concrete,0.34,19,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
8014,Rectangular,South,0.52,15,178.94,Steel,0.35,22,1,1,Split AC,Gas Heating,0,2,"Oven, Dishwasher"
8015,Rectangular,East,0.52,15,277.93,Wood,0.31,21,1,0,Split AC,Heat Pump,0,1,"Microwave, Washer"
8016,Rectangular,North,0.51,10,329.47,Steel,0.33,21,1,0,Split AC,Heat Pump,1,2,"Microwave, Washer"
8017,L-Shape,South,0.4,18,50.71,Concrete,0.21,20,0,0,Split AC,Gas Heating,1,1,"TV, Fridge"
8018,U-Shape,South,0.3,15,322.21,Concrete,0.29,19,0,1,VRF,Heat Pump,0,1,"Microwave, Washer"
8019,L-Shape,East,0.59,12,92.44,Wood,0.27,20,1,0,Split AC,Gas Heating,0,2,"Oven, Dishwasher"
8020,U-Shape,North,0.3,18,249.62,Concrete,0.25,21,0,0,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
8021,U-Shape,North,0.55,12,98.79,Steel,0.21,22,0,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
8022,Rectangular,East,0.39,12,153.82,Concrete,0.3,22,1,0,VRF,Gas Heating,0,1,"Microwave, Washer"
8023,L-Shape,West,0.51,15,142.74,Steel,0.33,19,0,1,Split AC,Heat Pump,1,1,"Microwave, Washer"
8024,L-Shape,West,0.5,18,91.04,Wood,0.28,20,1,0,Split AC,Gas Heating,0,0,"Microwave, Washer"
8025,U-Shape,South,0.38,10,71.1,Concrete,0.24,19,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
8026,U-Shape,East,0.32,15,185.08,Steel,0.27,19,0,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
8027,L-Shape,East,0.45,12,175.17,Wood,0.23,20,1,0,Split AC,Gas Heating,0,1,"Microwave, Washer"
8028,L-Shape,East,0.55,10,256.19,Concrete,0.2,20,1,1,Package AC,Gas Heating,0,2,"Microwave, Washer"
8029,U-Shape,East,0.52,10,50.71,Steel,0.22,22,0,1,Split AC,Heat Pump,0,2,"Microwave, Washer"
8030,Rectangular,South,0.56,15,328.38,Steel,0.23,19,0,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
8031,Rectangular,South,0.45,10,266.65,Steel,0.36,19,0,0,VRF,Heat Pump,1,2,"Microwave, Washer"
8032,L-Shape,East,0.33,10,146.16,Steel,0.25,21,1,1,VRF,Heat Pump,1,2,"Oven, Dishwasher"
8033,L-Shape,East,0.41,12,166.76,Concrete,0.24,22,1,1,Package AC,Gas Heating,1,1,"TV, Fridge"
8034,Rectangular,South,0.37,12,228.66,Wood,0.33,22,0,1,Split AC,Gas Heating,1,0,"TV, Fridge"
8035,Rectangular,West,0.55,12,155.69,Steel,0.4,22,0,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
8036,L-Shape,South,0.5,15,143.05,Steel,0.28,22,1,1,Split AC,Gas Heating,0,2,"Microwave, Washer"
8037,Rectangular,South,0.58,12,100.7,Steel,0.25,19,1,1,Split AC,Gas Heating,0,1,"TV, Fridge"
8038,Rectangular,East,0.55,15,188.84,Steel,0.24,19,0,1,VRF,Gas Heating,0,2,"Microwave, Washer"
8039,Rectangular,East,0.53,10,139.49,Wood,0.37,19,0,0,Package AC,Gas Heating,1,1,"TV, Fridge"
8040,Rectangular,West,0.5,15,61.75,Steel,0.22,19,0,1,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
8041,Rectangular,East,0.55,10,137.5,Wood,0.38,22,0,1,Split AC,Heat Pump,0,2,"TV, Fridge"
8042,Rectangular,East,0.46,15,150.95,Concrete,0.26,20,0,0,Split AC,Gas Heating,0,0,"Oven, Dishwasher"
8043,Rectangular,South,0.52,18,227.15,Steel,0.33,22,1,1,Split AC,Gas Heating,0,0,"Oven, Dishwasher"
8044,L-Shape,South,0.46,15,154.69,Wood,0.3,19,0,1,Split AC,Heat Pump,1,1,"TV, Fridge"
8045,U-Shape,North,0.46,15,182.05,Steel,0.4,20,0,0,Split AC,Heat Pump,1,1,"TV, Fridge"
8046,L-Shape,West,0.45,10,50.71,Steel,0.24,20,1,0,Package AC,Heat Pump,1,0,"Microwave, Washer"
8047,L-Shape,West,0.49,18,159.89,Wood,0.38,22,0,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
8048,L-Shape,North,0.37,15,127.17,Concrete,0.37,22,0,0,VRF,Gas Heating,0,2,"Microwave, Washer"
8049,L-Shape,East,0.4,15,201.95,Concrete,0.37,19,0,0,VRF,Heat Pump,1,0,"Microwave, Washer"
8050,U-Shape,West,0.31,15,261.35,Concrete,0.25,22,1,0,Split AC,Gas Heating,0,2,"Oven, Dishwasher"
8051,Rectangular,West,0.49,10,50.71,Steel,0.25,19,1,1,Split AC,Heat Pump,1,0,"Microwave, Washer"
8052,Rectangular,South,0.51,18,209.36,Concrete,0.24,19,1,1,VRF,Heat Pump,1,1,"Microwave, Washer"
8053,L-Shape,North,0.6,15,252.89,Concrete,0.34,19,0,1,Split AC,Heat Pump,1,0,"TV, Fridge"
8054,Rectangular,East,0.6,12,107.3,Steel,0.24,22,1,0,Split AC,Heat Pump,0,0,"Microwave, Washer"
8055,L-Shape,West,0.44,18,296.03,Concrete,0.38,20,0,1,Package AC,Heat Pump,0,0,"Microwave, Washer"
8056,Rectangular,East,0.43,12,93.24,Wood,0.37,20,1,0,Package AC,Gas Heating,0,1,"Microwave, Washer"
8057,Rectangular,West,0.39,15,267.42,Concrete,0.3,20,1,0,Package AC,Heat Pump,1,0,"Oven, Dishwasher"
8058,Rectangular,East,0.39,10,258.19,Wood,0.38,22,1,1,Package AC,Gas Heating,0,0,"TV, Fridge"
8059,L-Shape,West,0.33,10,281.42,Concrete,0.23,20,1,0,Package AC,Heat Pump,1,0,"TV, Fridge"
8060,Rectangular,West,0.3,18,147.44,Wood,0.29,20,1,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
8061,U-Shape,East,0.5,15,149.86,Concrete,0.2,21,0,0,Package AC,Gas Heating,1,0,"Oven, Dishwasher"
8062,L-Shape,North,0.6,10,149.97,Steel,0.33,21,0,0,Package AC,Heat Pump,1,2,"TV, Fridge"
8063,Rectangular,West,0.56,12,70.99,Concrete,0.23,20,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
8064,U-Shape,North,0.51,15,259.04,Steel,0.24,21,0,0,Split AC,Heat Pump,0,2,"Microwave, Washer"
8065,U-Shape,South,0.36,10,167.27,Concrete,0.3,22,1,1,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
8066,U-Shape,North,0.49,10,92.36,Steel,0.4,20,0,1,Split AC,Heat Pump,1,0,"TV, Fridge"
8067,L-Shape,South,0.57,10,290.07,Concrete,0.39,19,0,1,VRF,Heat Pump,0,2,"Oven, Dishwasher"
8068,U-Shape,South,0.43,15,201.17,Steel,0.32,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
8069,L-Shape,North,0.54,18,63.63,Steel,0.2,19,0,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
8070,U-Shape,East,0.46,18,213.65,Concrete,0.36,19,0,0,VRF,Heat Pump,1,1,"Oven, Dishwasher"
8071,L-Shape,South,0.41,12,50.71,Steel,0.31,21,1,0,Package AC,Heat Pump,0,1,"TV, Fridge"
8072,L-Shape,South,0.54,15,50.71,Steel,0.32,19,1,0,VRF,Heat Pump,0,1,"Oven, Dishwasher"
8073,L-Shape,North,0.37,12,312.73,Wood,0.33,22,0,0,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
8074,Rectangular,East,0.53,15,245.02,Concrete,0.35,21,1,1,Package AC,Gas Heating,1,0,"Oven, Dishwasher"
8075,L-Shape,North,0.47,15,189.07,Wood,0.25,22,0,0,VRF,Heat Pump,0,1,"Microwave, Washer"
8076,Rectangular,North,0.53,18,261.84,Wood,0.3,20,1,0,Package AC,Gas Heating,0,0,"Microwave, Washer"
8077,Rectangular,South,0.58,18,152.8,Steel,0.35,22,1,0,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
8078,L-Shape,East,0.43,10,226.59,Steel,0.34,22,1,1,Split AC,Heat Pump,1,2,"TV, Fridge"
8079,Rectangular,East,0.48,10,77.05,Concrete,0.22,20,1,0,Package AC,Gas Heating,1,0,"TV, Fridge"
8080,L-Shape,East,0.31,18,242.12,Steel,0.2,22,0,0,VRF,Gas Heating,1,2,"Oven, Dishwasher"
8081,Rectangular,South,0.42,18,50.71,Wood,0.31,20,0,1,Package AC,Gas Heating,0,2,"Oven, Dishwasher"
8082,Rectangular,North,0.37,15,131.67,Steel,0.29,22,0,0,VRF,Gas Heating,0,2,"Oven, Dishwasher"
8083,Rectangular,East,0.38,10,87.66,Steel,0.38,22,1,0,Package AC,Gas Heating,1,0,"Microwave, Washer"
8084,U-Shape,South,0.41,15,101.4,Steel,0.33,20,1,0,Split AC,Gas Heating,1,0,"TV, Fridge"
8085,Rectangular,East,0.57,10,330.5,Concrete,0.37,19,1,1,Package AC,Heat Pump,0,0,"TV, Fridge"
8086,L-Shape,North,0.35,15,123.89,Wood,0.35,19,1,1,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
8087,U-Shape,West,0.34,15,130.12,Concrete,0.37,21,0,0,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
8088,Rectangular,North,0.48,15,171.89,Steel,0.33,20,1,0,Split AC,Heat Pump,0,1,"Microwave, Washer"
8089,U-Shape,South,0.37,10,78.4,Steel,0.25,20,0,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
8090,Rectangular,East,0.35,10,203.09,Wood,0.26,20,1,1,Package AC,Gas Heating,1,1,"Microwave, Washer"
8091,L-Shape,North,0.39,15,257.79,Concrete,0.33,22,1,0,Package AC,Gas Heating,1,1,"Microwave, Washer"
8092,L-Shape,South,0.52,18,96.62,Steel,0.32,20,0,0,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
8093,Rectangular,West,0.57,12,272.92,Steel,0.36,20,1,0,Split AC,Gas Heating,1,1,"Oven, Dishwasher"
8094,L-Shape,East,0.51,18,76.22,Steel,0.2,22,0,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
8095,U-Shape,South,0.46,15,136.42,Steel,0.24,19,0,1,VRF,Heat Pump,1,2,"Oven, Dishwasher"
8096,U-Shape,South,0.53,10,291.56,Concrete,0.33,22,0,1,Split AC,Gas Heating,1,0,"Oven, Dishwasher"
8097,L-Shape,North,0.55,12,346.72,Steel,0.37,22,0,0,VRF,Heat Pump,1,1,"Oven, Dishwasher"
8098,U-Shape,North,0.6,15,280.55,Steel,0.4,22,0,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
8099,U-Shape,North,0.36,10,209.12,Steel,0.34,22,0,1,VRF,Gas Heating,1,2,"Oven, Dishwasher"
8100,U-Shape,South,0.53,15,50.71,Steel,0.25,19,0,1,Split AC,Heat Pump,0,1,"Microwave, Washer"
8101,Rectangular,West,0.35,18,128.8,Steel,0.26,21,0,1,Split AC,Gas Heating,0,1,"Oven, Dishwasher"
8102,Rectangular,East,0.33,15,88.72,Steel,0.24,20,0,1,VRF,Gas Heating,0,0,"TV, Fridge"
8103,Rectangular,North,0.32,18,166.06,Concrete,0.33,22,0,0,VRF,Heat Pump,1,0,"Microwave, Washer"
8104,Rectangular,East,0.5,15,51.12,Steel,0.33,19,1,1,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
8105,U-Shape,East,0.3,15,136.66,Concrete,0.29,20,1,1,Package AC,Heat Pump,0,2,"Microwave, Washer"
8106,Rectangular,South,0.51,10,208.84,Concrete,0.22,19,1,1,Package AC,Heat Pump,1,2,"Microwave, Washer"
8107,U-Shape,South,0.6,10,243.69,Steel,0.39,21,0,1,Split AC,Gas Heating,1,0,"Microwave, Washer"
8108,U-Shape,South,0.48,12,230.91,Steel,0.35,19,1,0,Package AC,Heat Pump,1,2,"Oven, Dishwasher"
8109,Rectangular,East,0.6,18,122.16,Steel,0.2,21,1,0,Split AC,Heat Pump,0,2,"Oven, Dishwasher"
8110,Rectangular,West,0.36,18,256.55,Concrete,0.28,22,0,0,Package AC,Gas Heating,1,0,"Microwave, Washer"
8111,L-Shape,East,0.42,12,311.37,Steel,0.35,22,0,0,Split AC,Heat Pump,0,1,"Oven, Dishwasher"
8112,Rectangular,East,0.53,10,264.91,Concrete,0.31,19,1,1,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
8113,U-Shape,South,0.6,10,249.9,Steel,0.38,19,0,0,Package AC,Gas Heating,1,2,"Oven, Dishwasher"
8114,Rectangular,East,0.42,15,348.6,Concrete,0.36,22,1,1,Split AC,Gas Heating,1,1,"Microwave, Washer"
8115,U-Shape,East,0.45,12,174.06,Concrete,0.34,20,1,0,Split AC,Gas Heating,1,0,"Microwave, Washer"
8116,Rectangular,South,0.51,12,164.9,Steel,0.2,22,0,1,Split AC,Heat Pump,0,0,"Oven, Dishwasher"
8117,Rectangular,East,0.41,10,226.44,Wood,0.25,21,1,1,Package AC,Gas Heating,0,0,"Microwave, Washer"
8118,U-Shape,West,0.36,15,216.8,Wood,0.36,19,0,1,VRF,Gas Heating,1,2,"Microwave, Washer"
8119,Rectangular,East,0.59,12,291.21,Wood,0.23,21,0,1,VRF,Heat Pump,0,2,"Oven, Dishwasher"
8120,Rectangular,East,0.43,18,97.59,Steel,0.3,19,1,0,Package AC,Heat Pump,0,1,"Microwave, Washer"
8121,U-Shape,North,0.54,15,191.56,Steel,0.37,19,0,1,Package AC,Heat Pump,1,2,"TV, Fridge"
8122,L-Shape,South,0.37,10,68.8,Concrete,0.31,19,1,0,Package AC,Heat Pump,1,2,"TV, Fridge"
8123,L-Shape,South,0.45,18,197.27,Concrete,0.36,19,0,1,VRF,Gas Heating,1,0,"Oven, Dishwasher"
8124,Rectangular,East,0.39,10,348.6,Concrete,0.4,19,1,0,Package AC,Heat Pump,1,1,"Microwave, Washer"
8125,Rectangular,North,0.5,15,332.46,Steel,0.35,19,1,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
8126,Rectangular,North,0.46,12,178.0,Steel,0.33,22,0,0,Package AC,Heat Pump,0,0,"Oven, Dishwasher"
8127,L-Shape,South,0.51,10,114.76,Wood,0.38,20,0,0,Split AC,Heat Pump,1,0,"Microwave, Washer"
8128,Rectangular,West,0.49,10,185.49,Wood,0.31,20,0,1,Package AC,Gas Heating,1,1,"Oven, Dishwasher"
8129,Rectangular,North,0.58,10,306.13,Wood,0.34,19,0,0,Package AC,Heat Pump,1,1,"TV, Fridge"
8130,L-Shape,North,0.56,18,118.59,Wood,0.32,22,1,1,Package AC,Heat Pump,0,2,"Oven, Dishwasher"
8131,L-Shape,East,0.5,15,133.98,Wood,0.35,22,1,0,Split AC,Gas Heating,1,1,"Microwave, Washer"
8132,Rectangular,East,0.32,15,50.71,Wood,0.34,22,0,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
8133,Rectangular,West,0.46,10,139.6,Steel,0.25,21,0,0,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
8134,Rectangular,South,0.6,15,348.6,Concrete,0.36,20,1,1,Package AC,Gas Heating,1,2,"TV, Fridge"
8135,Rectangular,East,0.47,12,315.59,Concrete,0.4,20,1,0,Package AC,Heat Pump,0,1,"Microwave, Washer"
8136,Rectangular,North,0.53,12,143.26,Concrete,0.3,19,1,1,Split AC,Heat Pump,1,2,"TV, Fridge"
8137,Rectangular,South,0.5,15,221.32,Steel,0.31,22,1,0,Split AC,Heat Pump,0,0,"Microwave, Washer"
8138,L-Shape,East,0.56,10,125.25,Steel,0.4,19,0,0,Split AC,Heat Pump,1,2,"TV, Fridge"
8139,Rectangular,South,0.36,10,247.19,Steel,0.2,19,0,1,Package AC,Gas Heating,0,1,"Oven, Dishwasher"
8140,L-Shape,North,0.41,18,50.71,Concrete,0.29,21,0,0,Split AC,Gas Heating,0,2,"TV, Fridge"
8141,Rectangular,West,0.33,10,159.57,Steel,0.36,22,0,1,Package AC,Gas Heating,1,1,"TV, Fridge"
8142,Rectangular,North,0.53,12,300.21,Wood,0.24,19,0,1,VRF,Heat Pump,0,0,"TV, Fridge"
